sku,name,vendor,product_type,price,description,tags,url
JYC-02668,Viltrox L116T LED Light Panel,viltrox,Đèn video LED,$37.50,"Tấm đèn LED Viltrox L116T mang đến màu sắc chân thực với chỉ số CRI 95+. Sản phẩm có thiết kế siêu mỏng và màn hình LCD độ phân giải cao giúp thao tác dễ dàng, trực quan. Bạn có thể điều chỉnh cả độ sáng và nhiệt độ màu một cách vô cấp để đạt được hiệu ứng chiếu sáng hoàn hảo cho chụp chân dung, trẻ em, đám cưới và nhiều nhu cầu khác. Tấm đế kim loại bền chắc giúp lắp đặt dễ dàng lên máy ảnh DSLR, máy quay và tripod.","Bi-color Light Series, Panel Light Series",https://viltrox.com/products/viltrox-l116t-ra-cri95-super-slim-led-light-panel-3300k-5600k-led-video-light-panel-lcd-display-screen-color-temperature-and-brightness-can-be-adjusted-with-np-f550-lithium-battery
JYC-03032,Viltrox VL-600T Circle Light,viltrox,Đèn video LED,$124.99,"Đèn vòng Viltrox VL-600T là chiếc đèn duy nhất bạn cần để đạt được kết quả nhanh chóng, chuyên nghiệp cho ảnh chân dung khách hàng, video YouTube, hướng dẫn trang điểm hoặc phát trực tiếp. Sản phẩm rất phù hợp cho không gian nhỏ. Đèn sử dụng bóng LED SMD chất lượng cao, cho ánh sáng mềm, tiêu thụ điện thấp và tuổi thọ dài. Nhiệt độ màu và độ sáng có thể được điều chỉnh theo nhu cầu của bạn. Sản phẩm phù hợp để bổ sáng trong nhiều bối cảnh khác nhau, như chụp ngoài trời và trong nhà, chụp ảnh chân dung hoặc ảnh cưới, và chiếu sáng cho phòng trang điểm hoặc phòng dẫn chương trình.","Bi-color Light Series, Ring Light Series",https://viltrox.com/products/viltrox-ring-light-with-stand-18-led-dimmable-fluorescent-ring-light-45w-circle-light-vl-600t-for-photography-video-youtube-vimeo-portrait-lighting-live-streaming-with-remoter
JYC-02872,Viltrox NF-M43X Mount Adapter,Viltrox,bộ chuyển ngàm ống kính,$82.99,"Gắn ống kính Nikon F của bạn lên máy ảnh Micro Four Thirds với bộ chuyển ngàm Viltrox NF-M43X này. Được chế tác chính xác từ đồng thau và mạ chromium, bộ chuyển ngàm này được thiết kế để sử dụng hằng ngày và sẽ đảm bảo lấy nét ở vô cực. Ngoài ra, mẫu này có lớp lót bên trong dạng flocked giúp hạn chế lóa và bóng ma do phản xạ bên trong bộ chuyển ngàm. Bề mặt hoàn thiện satin phù hợp với phần lớn máy ảnh để tạo diện mạo đồng nhất, và sản phẩm có đế chân máy tháo rời tương thích kiểu Arca giúp lắp đặt đơn giản lên nhiều loại tripod khác nhau. Trong khi bộ chuyển ngàm này cho phép người dùng gắn ống kính Nikon F lên máy ảnh Micro Four Thirds, các chức năng tự động như lấy nét tự động và điều khiển khẩu độ điện tử sẽ không được hỗ trợ. 

Bộ sản phẩm gồm:
1x bộ chuyển ngàm NF-M43x
1x nắp trước
1x nắp sau
2x tua vít mini dạng cờ lê",NF-M4/3,https://viltrox.com/products/viltrox-nf-m43x-0-71x-nikon-f-lens-to-micro-four-thirds-camera-mount-adapter-enlarge-aperture-speed-booster-manual-infinity-focus
B07K7CQCCN,Viltrox EF-EOS M2 Lens Adapter,Viltrox,bộ chuyển ngàm ống kính,$156.00,"Bộ chuyển ngàm EF EOS M2 được thiết kế để sử dụng ống kính EF trên máy ảnh mirrorless Canon, tương thích với hệ thống truyền động của ống kính Canon. Sản phẩm có thể hỗ trợ chức năng lấy nét tự động AF của ống kính với các tiếp điểm kim loại, bao phủ dải tiêu cự rộng, phù hợp cho nhiều tình huống chụp khác nhau và mang lại chất lượng hình ảnh chuyên nghiệp.",EF-EOS M,https://viltrox.com/products/viltrox-ef-eos-m2-lens-adapter-0-71x-speed-booster
JYC-02905,Viltrox VL-200T Video LED Panel Light,viltroxshop,Đèn LED video,$65.02,"Tiết kiệm năng lượng và có thể điều chỉnh độ sáng. Bi-color 3300K (vàng) - 5600K (trắng), điều chỉnh độ sáng 20%-100%, 30W/2500LM. Bảo vệ mắt, không bức xạ, không vùng tối, không bóng mờ, không chói, không gây gắt mắt. Dễ dàng tùy chỉnh mức độ sáng bằng thao tác xoay đơn giản. Hệ thống cấp nguồn kép. Pin lithium / nguồn DC. Bộ chuyển đổi DC đã được bao gồm trong hộp, pin không bao gồm. Điều khiển từ xa không dây LCD 2.4 GHz: có nút thông minh để dễ dàng điều chỉnh độ sáng, CH và nhiệt độ màu từ 3300K đến 5600K trong phạm vi 20 mét từ đèn video của camera. Thiết kế siêu nhỏ gọn. Kích thước 260mm x 200mm x 22mm) cho phép bạn mang theo thuận tiện khi chụp ảnh trong nhà và ngoài trời, không lo ảnh hưởng của khoảng cách, giới hạn thời gian hoặc thời tiết. Thiết kế siêu mỏng 22mm giúp thiết bị chiếm ít không gian trong ba lô của bạn. Khả năng tương thích tuyệt vời. Đi kèm adapter ngàm nóng 1/4\"" , bạn có thể dễ dàng gắn lên DV, camera, tripod và giá đèn. Có màn hình HD LCD giúp thao tác thuận tiện và chính xác hơn. Chức năng: VILTROX VL-200 là đèn LED Bi-color (dải nhiệt độ: 3300k-5600k) với hạt đèn chất lượng cao, tiết kiệm năng lượng, thân thiện với môi trường và bền lâu. Nhiệt độ màu và độ sáng có thể dễ dàng điều chỉnh theo nhu cầu của bạn. Đèn LED rất nhỏ gọn nên phù hợp cho chụp ngoại cảnh, đáp ứng nhu cầu chụp của bạn trong nhiều bối cảnh hơn. Tính năng chính: hệ thống điều khiển từ xa không dây FSK 2.4GHz, điều khiển nhóm 7 nhóm 19 kênh; hệ thống Bi-color, điều chỉnh độ sáng và nhiệt độ màu vô cấp; hệ thống cấp nguồn kép: pin lithium / nguồn DC; màn hình HD LCD giúp thao tác thuận tiện và chính xác hơn; trang bị sẵn bộ điều khiển từ xa có thể điều khiển thông số của một đèn hoặc cả nhóm đèn LED. Độ dày: chỉ 22mm; trọng lượng: chỉ 556g. Công suất đầu ra cao 30W. Chip đèn do VILTROX phát minh sáng hơn 30% so với các đèn tương tự của thương hiệu khác. Ánh sáng ấm 3300K tạo nên một bầu không khí hài hòa","Bi-color Light Series, Panel Light Series",https://viltrox.com/products/viltrox-vl-200-t-video-led-light
JYC-02677,"Viltrox L132T 0.78""LED Light",viltroxshop,Đèn LED quay video,$35.59,"Mô tả sản phẩm: Sử dụng núm xoay, nhấn để chuyển đổi độ sáng và nhiệt độ màu. Khi xoay, các thông số độ sáng (20%-100) hoặc nhiệt độ màu (3300K-5600K) sẽ tăng hoặc giảm. Để đạt CRI95, có thể tái tạo đầy đủ và hoàn hảo màu sắc của ánh sáng mặt trời, đảm bảo ánh sáng tự nhiên, chân thực. Phù hợp cho chân dung, trẻ em, đám cưới và chụp ảnh mới, v.v. Có hai chế độ cấp nguồn, bạn có thể dùng pin lithium như dòng NP-F550/F750/F960 khi ở ngoài trời, và dùng bộ đổi nguồn AC khi ở trong nhà. LƯU Ý: Đèn LED không kèm pin và bộ đổi nguồn AC, nếu bạn cần, vui lòng liên hệ với tôi trước khi đặt hàng. Màn hình LCD hiển thị các thông số. Đèn LED đã đạt chứng nhận CE, EMC, FCC và RoHS, nên chất lượng được đảm bảo. Sản phẩm đi kèm chính sách hoàn trả 60 ngày khi bạn nhận hàng nhưng không hài lòng với sản phẩm của chúng tôi. Được trang bị màn hình LCD rõ nét, có thể hiển thị thông tin về độ sáng, nhiệt độ màu và pin khi đang sử dụng. Có thể gắn trên máy ảnh DSLR kỹ thuật số hoặc máy quay, thậm chí cả chân máy và giá đỡ đèn. Không phát ra tia cực tím và tia hồng ngoại, tỏa nhiệt thấp, an toàn và thân thiện với môi trường. Lý tưởng cho chụp ảnh chân dung trong studio, biểu diễn trực tiếp, gọi video, phát sóng trực tiếp, sự kiện ngoài trời, trình diễn thời trang, trưng bày sản phẩm, video hướng dẫn trang điểm, booth chụp ảnh, đám cưới, chụp ảnh selfie, quay video cho Facebook, Instagram, YouTube và nhiều mục đích khác. Thiết kế khoang pin Có thể dùng pin dòng NP-F550/F750/950 để cấp nguồn cho khoang pin. Pin KHÔNG đi kèm đèn. Hỗ trợ bộ đổi nguồn AC treo tường Với cổng cắm bộ đổi nguồn AC, bạn có thể dùng bộ đổi nguồn treo tường để cấp nguồn liên tục khi quay chụp trong nhà. Bộ đổi nguồn phù hợp là 12V. Bộ đổi nguồn AC KHÔNG đi kèm đèn. Nhẹ Kích thước sản phẩm: 25.5 * 10 * 3cm / 10 * 3.9 * 1.2in Trọng lượng sản phẩm: Xấp xỉ 300g / 10.6oz Nhẹ và di động, dễ mang theo trong túi. Loại: Đèn LED quay video (điều chỉnh độ sáng","Bi-color Light Series, Panel Light Series",https://viltrox.com/products/viltrox-l132t-0-78-2cm-ultra-thin-cri95-5600k-3300k-led-video-light-dimmable-flat-panel-on-camera-light-pad-for-canon-nikon-pentax-olympus-samsung-panasonic-dslr-cameras-dv-camcorders
B07HMP8BCB,Viltrox VL-500T Bi-Color Round Light,Viltrox Store,Đèn video LED,$63.99,"Mô tả sản phẩm Đèn LED viền hai màu siêu sáng, áp dụng thiết kế tổ ong LED mới nhất, với độ sáng mềm và nhiệt độ màu chính xác. Lựa chọn tốt cho chụp chân dung. Nhiệt độ màu Tungsten/Daylight 3300K-5600K, Chỉ số hoàn màu ~95(RA)+, phù hợp để kết hợp với các đèn khác, ánh sáng môi trường, hoặc chỉ để tạo màu sắc sáng tạo. Đi kèm bộ chuyển đổi DC và pin NP-F550, có thể đáp ứng nhu cầu nguồn điện khác nhau khi sử dụng trong nhà và ngoài trời. Màn hình LCD giúp hiển thị nhiệt độ màu, độ sáng và mức pin thuận tiện hơn. Phù hợp cho chụp ảnh và quay video trong nhà và ngoài trời, chụp chân dung và chụp ảnh cưới, phỏng vấn và đặc biệt tốt cho chụp ảnh em bé. Với hình dạng độc đáo, CRI ≥95, tùy chọn nguồn điện AC hoặc pin, và điều khiển đầy đủ chức năng, đèn LED phẳng tròn Bi-Color Studio VL-500T 10"" từ VILTROX là công cụ giá trị trong studio hoặc trên phim trường cho nhiều mục đích chuyên dụng khác nhau. Bóng LED: 140 chiếc, Độ sáng tối đa: 2000LM (0.5m) Điện áp đầu vào: 8-15V (nguồn không nhỏ hơn 28W), φ5.5*2.0mm. Công suất: 25W Độ rọi tối đa:: 1550Lux/0.5m Nhiệt độ màu: điều chỉnh bên trong 3300K-5600K Chỉ số hoàn màu: >95 (RA) Độ sáng có thể điều chỉnh: 20% ~ 100% Góc chiếu sáng: 180° Màn hình LCD hiển thị số / dung lượng pin / độ sáng / nhiệt độ màu Hoạt động với Sony NP-F970/F770/F570/F550; Kích thước: 270mm x 270mm x 24mm Trọng lượng 660g Lựa chọn tốt cho chụp chân dung Hình dạng tròn độc đáo khiến nó trở thành lựa chọn tốt cho các công việc như chụp chân dung, nơi nó sẽ phản chiếu các đốm sáng tròn tự nhiên trong mắt chủ thể. Màn hình LCD HD Với màn hình hiển thị tiên tiến phía sau đèn, bạn có thể dễ dàng xem chính xác độ sáng còn lại, nhiệt độ màu và nguồn điện. Khi sử dụng đèn trong nhiều bối cảnh khác nhau, nó có thể đạt độ chính xác tối đa. Núm xoay ở mặt sau cho phép bạn dễ dàng điều chỉnh nhiệt độ màu và độ sáng. Thiết kế tổ ong LED Áp dụng thiết kế tổ ong, ánh sáng của nó tự nhiên và chân thực, mềm mại, phù hợp cho chụp chân dung","Bi-color Light Series, Panel Light Series",https://viltrox.com/products/viltrox-vl-500t-2000lm-led-bi-color-studio-round-lighting-ultra-thin-studio-edge-flapjack-light-10-inch-portrait-light-with-battery-charger-ac-adapter
"""",Viltrox EF-M2 Pro Reducer Speed Booster Adapter to M43,Viltrox,ngàm chuyển ống kính,$218.00,"Ống kính Canon EF sang máy ảnh MFT, tích hợp bộ giảm tiêu cự, độ phóng đại 0.71x. Tăng một stop khẩu độ ống kính, duy trì các chức năng AF, AE và IS",EF-M4/3,https://viltrox.com/products/ef-m2-booster-lens-adapter-to-mft-m43-camera
"""",Viltrox EF-M1 AF EF/EF-S Lens Adapter To M43,Viltrox,bộ chuyển đổi ống kính,$158.00,Ống kính ngàm Canon EF hoặc EF-S sang máy ảnh Micro Four Thirds,EF-M4/3,https://viltrox.com/products/ef-m1-lens-adapter-ef-efs-to-mft-m43-camera
JYC-02890,Viltrox EF-NEX IV Lens Mount Adapter Ring,Viltrox,bộ chuyển ngàm ống kính,$136.00,"EF-NEX IV Mount Adapter được thiết kế để cho phép sử dụng các ống kính ngàm Canon EF trên các máy ảnh ống kính rời ngàm Sony E. Với các tiếp điểm kim loại, khi gắn bộ chuyển này, nó có thể thực hiện các chức năng như truyền tín hiệu EXIF, lấy nét tự động và điều chỉnh khẩu độ, v.v.",EF-E,https://viltrox.com/products/viltrox-ef-nex-iv-high-speed-electric-lens-mount-adapter-ring-af-auto-focus-for-canon-ef-ef-s-lens
