sku,name,vendor,price,url,description,tags
FVAF1S,"Đèn Flash Viltrox Vintage Z1 Pro Auto TTL, HSS 1/8000s Cho Máy Ảnh Sony, Fujifilm, Nikon, Canon Chính Hãng",Viltrox,1290000,https://store.kingcom.com.vn/products/den-flash-viltrox-vintage-z1-pro-auto-ttl-hss,"nguyên vẻ ngoài cổ điển đặc trưng với lớp hoàn thiện vân da và các điểm nhấn kim loại bạc, đồng thời mang đến hiệu suất đèn flash chuyên nghiệp hơn cho khả năng thể hiện sáng tạo nâng cao. Màn hình cảm ứng màu tròn tích hợp mới giúp tăng cường khả năng sử dụng với màn hình hiển thị thông tin rõ ràng hơn và trải nghiệm điều khiển trực quan, mượt mà hơn. Được trang bị chế độ tự động TTL và đồng bộ tốc độ cao (HSS) lên đến 1/8000s, nó mang lại độ chính xác phơi sáng và tính linh hoạt cao hơn trong điều kiện ánh sáng phức tạp. Chế độ kích hoạt quang học kép S1/S2 cho phép thiết lập nhiều đèn flash ngoài máy ảnh và nhiều đèn flash khác nhau. Nhỏ gọn chỉ 136g, công suất 24W với thời gian hồi phục công suất tối đa 1s cho hiệu suất đáng tin cậy khi di chuyển. Tương thích với hệ thống đế gắn đèn flash của Sony, Nikon, Canon và Fujifilm, Vintage Z1 Pro cũng hỗ trợ sạc xuyên suốt, cho phép bạn sạc pin trong khi chụp. Khả năng đồng bộ tốc độ cao Z1 Pro bổ sung khả năng đồng bộ tốc độ cao (HSS), hỗ trợ tốc độ màn trập lên đến 1/8000 giây. Điều này cho phép chụp ảnh với khẩu độ rộng ngay cả trong điều kiện ánh sáng mạnh giữa trưa, giữ được độ tách nền mềm mại trong khi vẫn đảm bảo chủ thể được chiếu sáng tự nhiên và đều. Điều khiển cảm ứng trực quan Màn hình cảm ứng màu hình tròn cung cấp thông tin chính rõ ràng và cho phép điều khiển nhanh chóng, trực quan bằng cảm ứng các cài đặt đèn flash cốt lõi. Kết hợp với núm xoay điều khiển vật lý, nó mang lại trải nghiệm vận hành tự nhiên và mượt mà: Một thao tác vuốt đơn giản chuyển đổi giữa các chế độ đèn flash M và A, trong khi các cử chỉ dọc cung cấp quyền truy cập nhanh vào HSS, tạo ra một luồng điều khiển phản hồi nhanh và trực quan. Màn hình khởi động có thể tùy chỉnh thêm một chút cá nhân hóa tinh tế, mở rộng trải nghiệm vượt ra ngoài chức năng thuần túy. Chế độ TTL phản hồi tức thì Ở chế độ TTL, máy ảnh sử dụng đo sáng trước khi chụp để tự động xác định công suất đèn flash tối ưu, đảm bảo phơi sáng chính xác trong các điều kiện ánh sáng khác nhau, cho phép bạn tập trung vào bố cục và thời gian mà không cần điều chỉnh đèn flash thủ công. Chuyển sang chế độ Thủ công cung cấp khả năng kiểm soát hoàn toàn công suất ánh sáng, với các mức công suất từ ​​1/1 đến 1/64 và điều chỉnh tinh chỉnh theo bước 1/3 để tạo hình ánh sáng chính xác và linh hoạt. Chế độ TTL | Công suất đèn flash tự động thông qua đo sáng trước khi chụp Chế độ Thủ công | Phạm vi công suất từ ​​1/1 đến 1/64 với điều chỉnh tinh chỉnh theo bước 1/3 Phương pháp điều khiển | Vuốt màn hình cảm ứng hoặc nhấn nút xoay vật lý để chuyển đổi chế độ nhanh chóng Công suất tức thì 24Ws đáp ứng thời gian hồi phục 1 giây Với công suất đầu ra 24Ws và thời gian hồi phục nhanh 1 giây, Z1 Pro cung cấp đủ công suất lấp đầy và khả năng phản hồi nhanh chóng cho các tình huống chụp hàng ngày. Từ chân dung ngược sáng đến môi trường trong nhà và cảnh đường phố năng động, nó cung cấp khả năng lấp đầy nhất quán giúp tăng cường cân bằng ánh sáng ngay lập tức và thêm chiều sâu và kết cấu cho hình ảnh của bạn. Nhiệt độ màu | 6000±200K Tiêu cự | 28mm Thời lượng đèn flash (T0.5) | 1/3000s ~ 1/50000s Dải công suất | 1/1 đến 1/64, có thể điều chỉnh trong phạm vi ± 1/3 350 lần nháy đèn cho nguồn cảm hứng bất tận Pin lithium 800mAh tích hợp cung cấp tới 350 lần nháy đèn ở công suất tối đa chỉ với một lần sạc, đảm bảo hiệu suất đáng tin cậy trong suốt các phiên chụp kéo dài. Với hỗ trợ sạc Type-C, đèn flash có thể được cấp nguồn thông qua pin dự phòng trong khi sử dụng, cho phép hoạt động không bị gián đoạn trong môi trường nhịp độ nhanh. Thời gian sạc đầy khoảng 70 phút. Khi không hoạt động trong 15 phút, thiết bị sẽ tự động chuyển sang chế độ ngủ tiết kiệm năng lượng để kéo dài tuổi thọ pin và duy trì trạng thái sẵn sàng khi cần thiết. Đồng bộ không dây, Chụp ảnh liền mạch Chế độ S1 (Kích hoạt tức thì) Được trang bị cảm biến quang học tích hợp, Z1 Pro cho phép kích hoạt không dây từ bên ngoài máy ảnh, hỗ trợ thiết lập nhiều đèn để định vị linh hoạt và tạo hiệu ứng ánh sáng chuyên nghiệp. Chế độ S2 (Bỏ qua đèn flash trước) Chế độ S2 giúp bỏ qua hiệu quả sự can thiệp của đèn flash trước trong các thiết lập nhiều đèn, đảm bảo sự ổn định trong suốt quá trình chụp và ngăn ngừa sai sót vào những khoảnh khắc quan trọng. Ba chế độ đồng bộ sáng tạo Máy ảnh Vintage Z1 Pro hỗ trợ Đồng bộ tốc độ cao (HSS), Đồng bộ màn trập trước và Đồng bộ màn trập sau để điều khiển linh hoạt trong các điều kiện chụp khác nhau. Đồng bộ tốc độ cao (HSS): Cho phép tốc độ màn trập lên đến 1/8000 giây để chụp chân dung khẩu độ rộng trong điều kiện ánh sáng mạnh, không bị giới hạn bởi tốc độ màn trập. Đồng bộ màn trập trước: Thời gian đèn flash tiêu chuẩn để chụp ảnh đáng tin cậy, đa năng với khả năng tương thích hệ thống rộng. Đồng bộ màn trập sau: Tạo vệt chuyển động tự nhiên cho chân dung ban đêm và hiệu ứng sáng tạo phơi sáng dài với chuyển động ánh sáng động. Thông số Chi tiết Model Vintage Z1 Pro Chế độ Flash M (Manual) / TTL (Auto Mode) Công suất 24Ws (ở mức 1/1) Thời gian hồi đèn ~1 giây (ở mức 1/1) Chế độ kích hoạt S1 (Kích hoạt quang), S2 (Bỏ qua flash trước) Thời lượng nháy (T0.5) 1/3000s – 1/50000s Nhiệt độ màu (CCT) 6000 ± 200K Tiêu cự 28mm Dung lượng pin 3.7V / 800mAh Thời gian sạc ~70 phút Cổng sạc Type-C (5V / 0.8A) Trọng lượng ~136g","Lighting, Strobe Lighting, Photo & Video Lights, Specialty Lighting, Light Modifiers, Light Stands & Mounting, Lighting Accessories, Battery, Lighting Projector, Pro Audio, Wireless Microphone, Microphone"
,[COMING SOON] Ống Kính Viltrox AF 75mm F1.8 EVO Cho Máy Ảnh APS-C Ngàm E/Z/XF Chính Hãng,Viltrox,5390000,https://store.kingcom.com.vn/products/ong-kinh-viltrox-af-75mm-f18-evo,"Ống Kính Máy Ảnh Viltrox AF 75mm F1.8 EVO Cho Máy Ảnh APS-C Ngàm E/Z/XF Tính năng nổi bật Thiết kế nhỏ gọn: Trọng lượng khoảng 325g dễ dàng di chuyển, gọn nhẹ. Dành cho máy ảnh APS-C với 3 phiên bản ngàm E/Z/XF. Tiêu cự vàng chân dung 75mm (tương đương 112,5mm trên full-frame). Khẩu độ lớn F1.8 Động cơ lấy nét tự động STM mạnh mẽ & êm ái. Được trang bị vòng lấy nét, vòng khẩu, công tắc AF/MF, nút click và Fn để thao tác hiệu quả. Lưu ý: Phiên bản ngàm XF không bao gồm nút: Click, Fn hoặc công tắc AF/MF Thông số kỹ thuật Thuộc tính Thông số chi tiết Model Viltrox AF 75mm F1.8 EVO Ngàm hỗ trợ Sony E / Nikon Z / Fujifilm XF Khẩu độ F1.8 – F16 Số lá khẩu 9 lá Hệ thống lấy nét Động cơ lấy nét STM Cơ chế lấy nét Internal Focus Độ phóng đại tối đa 0.12x Góc nhìn (POV) 21.4° Kích thước kính lọc (Filter) Φ58mm Trọng lượng ~325g","Lighting, Strobe Lighting, Photo & Video Lights, Specialty Lighting, Light Modifiers, Light Stands & Mounting, Lighting Accessories, Battery, Lighting Projector, Pro Audio, Wireless Microphone, Microphone"
FUCM3,"Bộ Chuyển Đổi Chân Đèn Ulanzi LA04 Thiết Kế Tháo Lắp Nhanh, Có Thể Gập 180° Chính Hãng",Ulanzi,159000,https://store.kingcom.com.vn/products/bo-chuyen-doi-chan-den-ulanzi-la04,"Bộ Chuyển Đổi Chân Đèn Ulanzi LA04 Tháo Lắp Nhanh Tính năng nổi bật Ulanzi LA04 là bộ chuyển đổi chân đèn / giá đỡ đa năng 1/4"" giúp bạn gắn nhiều loại phụ kiện như: Giá đỡ điện thoại, Máy ảnh, Đèn trợ sáng, v.v... Có thể gập nghiêng 180° tiện lợi. Tấm tháo lắp nhanh tích hợp giúp hoạt động trơn tru với nhiều loại thiết bị hơn. Sản phẩm đi kèm giá đỡ đa năng phù hợp với hầu hết các chân đèn tiêu chuẩn, có núm khóa để cố định. Nhỏ gọn - dễ dàng mang theo với trọng lượng chỉ ~100g. Thông số kỹ thuật Đặc tính Thông tin chi tiết Thương hiệu Ulanzi Model LA04 Chất liệu Hợp kim nhôm, Nhựa Tải trọng tối đa 3kg Kích thước 93 x 74 x 36 mm Trọng lượng ~100g","Lighting, Strobe Lighting, Photo & Video Lights, Specialty Lighting, Light Modifiers, Light Stands & Mounting, Lighting Accessories, Battery, Lighting Projector, Pro Audio, Wireless Microphone, Microphone"
FUP47,Balo Máy Ảnh Ulanzi BC007 Dung Tích 28L Chính Hãng,Ulanzi,2079000,https://store.kingcom.com.vn/products/balo-may-anh-ulanzi-bc007-dung-tich-28l,"Balo Máy Ảnh Ulanzi BC007 Sức Chứa Lớn 28L Chính Hãng Tính năng nổi bật Balo chỉ nặng 1,3kg với khung nhôm nhẹ, mang lại sử thoải mái và dễ dàng di chuyển. Thiết kế mở hình chữ U 180°, cho phép bạn dễ dàng lấy toàn bộ thiết bị. Ngăn đựng máy ảnh có thể tháo rời giúp thiết bị của bạn được sắp xếp gọn gàng và an toàn, trong khi ngăn đựng bên hông cho phép bạn lấy máy ảnh hoặc các vật dụng cần thiết chỉ trong vài giây - hoàn hảo cho các nhiếp ảnh gia di động. Dây đeo vai có thể điều chỉnh, tấm lưng EVA, dây đeo xương ức có thể điều chỉnh và đai hông. Hệ thống này phân bổ đều trọng lượng, giảm áp lực và giữ cho bạn ổn định khi đeo lâu dài, dù bạn đang đi bộ đường dài hay đi làm. Tùy chỉnh trang bị của bạn với dây đai MOLLE phía trước và bên hông, tấm dán móc đa năng và dây đeo ngoài. Những tính năng này cho phép bạn gắn thêm túi, dụng cụ hoặc phụ kiện — hoàn hảo cho các nhiếp ảnh gia cần thích ứng nhanh với mọi tình huống chụp. Ngăn chứa laptop phù hợp cho laptop 15.7inches. Thông số kỹ thuật Đặc tính Thông tin chi tiết Thương hiệu Ulanzi Model BC007 Dung tích 28L Chất liệu Polyester Kích thước 31 x 19 x 48 cm Trọng lượng 1.3kg","Lighting, Strobe Lighting, Photo & Video Lights, Specialty Lighting, Light Modifiers, Light Stands & Mounting, Lighting Accessories, Battery, Lighting Projector, Pro Audio, Wireless Microphone, Microphone"
,[COMING SOON] Ống Kính Viltrox AF 90mm F2.2 EVO Cho Máy Ảnh APS-C Ngàm E/Z/XF Chính Hãng,Viltrox,5390000,https://store.kingcom.com.vn/products/ong-kinh-viltrox-af-90mm-f22-evo,"Ống Kính Máy Ảnh Viltrox AF 90mm F2.2 EVO Cho Máy Ảnh APS-C Ngàm E/Z/XF Tính năng nổi bật Thiết kế nhỏ gọn: Trọng lượng khoảng 325g dễ dàng di chuyển, gọn nhẹ. Dành cho máy ảnh APS-C với 3 phiên bản ngàm E/Z/XF. Tiêu cự 90mm Khẩu độ lớn F2.2 Động cơ lấy nét tự động STM mạnh mẽ & êm ái. Được trang bị vòng lấy nét, vòng khẩu, công tắc AF/MF, nút Click và FN. *Lưu ý: Phiên bản ngàm XF sẽ không có nút Click, FN, AF/MF Thông số kỹ thuật Thuộc tính Thông số chi tiết Model Viltrox AF 90mm F2.2 EVO Ngàm hỗ trợ Sony E / Nikon Z / Fujifilm XF Khẩu độ F2.2 – F16 Số lá khẩu 9 lá Hệ thống lấy nét Động cơ lấy nét STM Cơ chế lấy nét Internal Focus Độ phóng đại tối đa 0.14x Góc nhìn (POV) 18.6° Kích thước kính lọc (Filter) Φ58mm Trọng lượng ~325g","Lighting, Strobe Lighting, Photo & Video Lights, Specialty Lighting, Light Modifiers, Light Stands & Mounting, Lighting Accessories, Battery, Lighting Projector, Pro Audio, Wireless Microphone, Microphone"
FUAL6G,Chân Tripod Nam Châm Ulanzi MA66 Tháo Lắp Nhanh Cho Pocket 4 / Pocket 3 Chính Hãng,Ulanzi,509000,https://store.kingcom.com.vn/products/tripod-ulanzi-ma66-cho-pocket4-pocket3,"TRIPOD CHO DJI OSMO POCKET 4 / POCKET 3 Tính năng nổi bật: Ulanzi MA66 là chân tripod thiết kế dành riêng cho DJI Osmo Pocket 3 — giúp bạn luôn sẵn sàng chụp ảnh mọi lúc. Nhỏ gọn, chỉ khoảng 75g thích hợp mang theo khắp nơi Khi sử dụng chân tripod MA66 bạn cần sạc cho Pocket 3 sẽ không bị cản trở, có thể sạc khi đang gắn trên đế. Ốc vít vặn tay 1/4"" tích hợp, gắn không gây trầy xước Thiết kế dạng giá đỡ nam châm mạnh mẽ, khoá chắn chắn và ổn định. Dễ dàng gắn vào các bề mặt kim loại nhẵn như giá kệ, tủ lạnh, v.v. *Hãy đảm bảo gắn từ tính đúng cách để có được sự chắc chắn theo hướng dẫn. Với Ulanzi MA66 bạn có thể dễ dàng điều chỉnh đến mọi góc độ để chụp ảnh linh hoạt, đảm bảo bạn không bao giờ bỏ lỡ khoảnh khắc hoàn hảo. Tương thích với cả hệ thống tháo nhanh Uka và Arca-Swiss, sẵn sàng cho mọi tình huống chụp ảnh. Dễ dàng cố định thiết bị của bạn vào hàng rào hoặc lan can để có tầm nhìn từ trên cao hoàn hảo—mọi lúc, mọi nơi. *Lưu ý: Khi sử dụng chế độ treo kiểu bọ ngựa, hãy đảm bảo tất cả các chân đế được đặt chắc chắn trên bề mặt phẳng, ổn định. Không gắn vào các vật thể chuyển động như cửa sổ xe. Thông số kỹ thuật Đặc điểm Chi tiết Thương hiệu Ulanzi Model MA66 Tương thích DJI Pocket 3 Chất liệu Hợp kim nhôm, Silicone Kích thước khi gập $121.8 \times 38 \times 11.5$ mm Kích thước khi mở rộng $157.5 \times 116.7 \times 112.6$ mm Trọng lượng tịnh 75g Trọng lượng tổng 90g Tải trọng tối đa 250g","Lighting, Strobe Lighting, Photo & Video Lights, Specialty Lighting, Light Modifiers, Light Stands & Mounting, Lighting Accessories, Battery, Lighting Projector, Pro Audio, Wireless Microphone, Microphone"
FUP54,Túi Đeo Vai Máy Ảnh Ulanzi TE88 15L Chống Sốc Chống Nước,Ulanzi,319000,https://store.kingcom.com.vn/products/tui-deo-vai-may-anh-ulanzi-te88-15l-chinh-hang,"Ulanzi TE88 Shoulder Bag (15L) là sự kết hợp hoàn hảo giữa thời trang đô thị và tính năng bảo vệ chuyên nghiệp. Với dung tích 15L cùng hệ thống đeo 3 điểm thông minh, TE88 không chỉ là một chiếc túi đựng máy ảnh mà còn là người bạn đồng hành lý tưởng cho Vlogger và nhiếp ảnh gia đường phố. Thiết kế công thái học giúp trọng lượng 680g được phân bổ đều, mang lại sự thoải mái tuyệt đối cho cả ngày dài tác nghiệp.","Lighting, Strobe Lighting, Photo & Video Lights, Specialty Lighting, Light Modifiers, Light Stands & Mounting, Lighting Accessories, Battery, Lighting Projector, Pro Audio, Wireless Microphone, Microphone"
FUUAR,"Bộ Kit Magic Arm Ulanzi HD02 Tải Trọng 3Kg Dành Cho Máy Ảnh, Monitor Chính Hãng",Ulanzi,749000,https://store.kingcom.com.vn/products/bo-kit-magic-arm-ulanzi-hd02,"Bộ Kit Magic Arm Ulanzi HD02, Tải Trọng 3Kg Dành Cho Máy Ảnh, Monitor Tính năng nổi bật Tải trọng lên đến 3kg. Kích thước kẹp có thể điều chỉnh từ 22-87mm thích hợp kẹp vào các bề mặt phẳng hoặc tròn như: Cạnh bàn, thân tripod, v.v... Đầu ball xoay 360° cho phép bạn điều chỉnh góc tiện lợi. Thông số kỹ thuật Đặc tính Thông tin chi tiết Thương hiệu Ulanzi Model HD02 SKU T098 Chất liệu Hợp kim nhôm (Aluminum alloy) + Thép không gỉ (Stainless Steel) Trọng lượng 453g Tải trọng tối đa 3kg Kích thước kẹp 22 - 87mm","Lighting, Strobe Lighting, Photo & Video Lights, Specialty Lighting, Light Modifiers, Light Stands & Mounting, Lighting Accessories, Battery, Lighting Projector, Pro Audio, Wireless Microphone, Microphone"
FUEEQ,Bộ Kẹp Balo Tháo Nhanh Ulanzi CK01 / CK02 Dành Cho Xtra Muse & DJI Pocket 3 Chính Hãng,Ulanzi,79000,https://store.kingcom.com.vn/products/bo-kep-thao-nhanh-balo-ulanzi-ck01-ck02,"Bộ Kẹp Balo Tháo Lắp Nhanh Ulanzi CK01 / CK02 Dành Cho XTra Muse & DJI Pocket 3 Tính năng nổi bật Thiết kế tháo lắp nhanh giúp bạn chuyển đổi thiết bị nhanh chóng. Đường ray hình chữ U và khóa chống trượt giữ cho thiết bị của bạn được an toàn, mang đến cho bạn sự an tâm và khả năng kiểm soát liền mạch. Với ren chuẩn 1/4"", sản phẩm có thể tích hợp liền mạch với nhiều loại thiết bị, từ camera hành động đến đèn và bộ chuyển đổi mở rộng. Kích thước nhỏ - gọn, dễ dàng mang theo. Thông số kỹ thuật Ulanzi CK01 Đặc tính Thông tin chi tiết Thương hiệu Ulanzi Model CK01 Chất liệu Nhựa ABS Kích thước 49 x 40 x 20 mm Trọng lượng 20g Tải trọng tối đa 1kg Thông số kỹ thuật Ulanzi CK02 Đặc tính Thông tin chi tiết Thương hiệu Ulanzi Model CK02 (Backpack Clip) Chất liệu Nhựa ABS cao cấp Trọng lượng 85g Tải trọng tối đa 500g (khi dùng nam châm) - 1kg (khi dùng kẹp) Kích thước 87 x 40 x 36 mm Cơ chế gắn Ngàm Quick Release (Tháo lắp nhanh) Cổng kết nối Vít 1/4"" tiêu chuẩn","Lighting, Strobe Lighting, Photo & Video Lights, Specialty Lighting, Light Modifiers, Light Stands & Mounting, Lighting Accessories, Battery, Lighting Projector, Pro Audio, Wireless Microphone, Microphone"
FUESF,Tản Sáng Cho Đèn Flash Ulanzi SL03 - Ulanzi PJ3 Softbox C101 Chính Hãng,Ulanzi,49000,https://store.kingcom.com.vn/products/tan-sang-den-flash-ulanzi-pj03,"TẢN SÁNG ĐÈN FLASH ULANZI SL03 Ulanzi PJ3 là Ốp tản sáng cho đèn flash ULANZI SL03 giúp ánh sáng mềm mại, đều và giúp giảm bóng tối gắt. Thông Số Kỹ Thuật Thương hiệu: Ulanzi Model: Ulanzi PJ3 - C101 Tương thích: Đèn flash Ulanzi SL03 Chất liệu: Silicone","Lighting, Strobe Lighting, Photo & Video Lights, Specialty Lighting, Light Modifiers, Light Stands & Mounting, Lighting Accessories, Battery, Lighting Projector, Pro Audio, Wireless Microphone, Microphone"
